publishedAt,title,tags,duration_in_seconds,viewCount,likeCount,Date of release ,# of days ,Views per day 
2015-11-07T16:30:00Z,Put On Your Shoes + More | Kids Songs Collection | Super Simple Songs,"['rain rain go away', 'toddlers', 'nursery school', 'nursery rhyme collection', 'rhymes', 'super simple songs', 'put on your shoes', 'getting dressed', 'Clothing song for kids', 'I see something blue', 'parenting', 'kids songs', 'nursery rhymes', 'kids', 'preschool', 'nursery', 'kindergarten']",3655,212803774,198707,2015-11-07,"2,891",73609
2018-06-28T14:30:01Z,This Is The Way We Go To Bed | Kids Songs | Super Simple Songs,"['kids songs', 'songs for kids', 'nursery rhymes', 'super simple songs', 'this is the way', 'bedtime song', 'this is the way we go to school', 'bedtime', 'this is the way song', 'this is the way we go to bed super simple', 'this is the way we go to bed', 'bedtime music', 'bedtime routine', 'bedtime songs for children', 'this is the way kids song', 'songs for toddlers', 'tthis is the way we take a bath', 'this is the way we put on your clothes', 'this is the way we brush your teeth', 'bedtime songs for kids']",119,197626175,567257,2018-06-28,"1,927",102556
2019-10-14T10:45:01Z,This Is The Way We Trick Or Treat | featuring The Super Simple Puppets,"['this is the way we trick or treat', 'trick or treat', 'super simple halloween', 'trick or treat song', 'halloween songs for children', 'super simple songs', 'kids songs', 'songs for kids', 'nursery rhymes', 'halloween songs', 'for children', 'super simple songs halloween', 'halloween for kids', 'halloween songs for kids']",117,196050738,536534,2019-10-14,"1,454",134835
2018-10-18T14:30:03Z,The Ants Go Marching #2 | featuring The Bumble Nums | Super Simple Songs,"['kids songs', 'songs for kids', 'nursery rhymes', 'super simple songs', 'the ants go marching', 'the ants go marching one by one', 'the ants go marching featuring the bumble nums', 'the bumble nums song', 'the ants go marching song', 'the army ants song', 'numbers song for kids', 'kids videos', 'songs for children', 'educational video', 'fun songs for kids', 'kindergarten', 'preschool songs', 'toddlers', 'songs for toddlers', 'preschoolers', 'children’s songs', 'baby songs', 'for kids', 'for children', 'videos for kids']",279,195655908,230718,2018-10-18,"1,815",107799
2014-09-03T12:00:02Z,I Have A Pet | Animal Song | Super Simple Songs,"['Super Simple Songs', 'preschool', 'ESL songs', 'English songs for kids', 'kids songs', 'animal song', 'nursery', 'song for toddlers', 'kindergarten', 'animal songs for children', 'nursery rhymes', 'animal songs for toddlers', 'www.supersimplelearning.com', 'English kids song', 'songs for kids', 'autism', 'rhymes', 'special education', 'nursery school', 'childrens songs', 'Super Simple Learning']",145,188538652,287699,2014-09-03,"3,321",56772
2015-10-24T15:30:00Z,Five Little Pumpkins + More | Counting Songs & Nursery Rhymes | Super Simple Songs,"['Five Little Pumpkins', 'Super Simple Songs', 'nursery', 'www.supersimplelearning.com', 'Pumpkin Song', 'rhymes', 'Nursery Rhyme Collection', 'Ten In The Bed', 'Five Little Monkeys', 'Preschool counting songs', 'Nursery Rhymes', 'Counting songs', 'Preschsool songs', 'Kids Songs', 'Preschool (School Category)', 'Counting songs for kids']",4212,187125907,171600,2015-10-24,"2,905",64415
2019-01-31T15:30:00Z,Skidamarink A Dink A Dink | Nursery Rhyme | Super Simple Songs,"['skidamarink song', 'skidamarink', 'skidamarink a dink a dink skidamarink a doo', 'skinnamarink', 'songs for kids', 'nursery rhyme', 'nursery rhymes', 'super simple songs', 'i love you song for kids', 'i love you in the morning and in the afternoon', 'kids song', 'valentines day song']",146,180051146,313793,2019-01-31,"1,710",105293
2015-09-30T15:30:00Z,Trick Or Treat | Give Me Something Good To Eat | Halloween Song,"['Halloween Songs for parties', 'Halloween Songs for Children', 'Halloween Song for Kids', 'Trick Or Treat', 'rhymes', 'Halloween Songs for kids', 'Halloween Songs for toddlers', 'Halloween Song', '#NurseryRhymes', 'Broccoli Ice Cream', 'Halloween Songs', 'www.supersimplelearning.com', 'Do You Like Broccoli Ice Cream', 'Halloween', 'Super Simple Songs', '#HalloweenSongs', 'nursery', '#Halloween']",101,169189145,173804,2015-09-30,"2,929",57763
2013-06-24T23:51:02Z,Head Shoulders Knees & Toes (Sing It),"['Head and shoulders knees and toes', 'SuperSimpleSongs', 'class performance', 'Parts of the body song', 'School performance', 'Eyes and ears and mouth and nose', 'rhymes', 'head and shoulders', 'Kids Songs', 'Toddlerific', 'School concert', 'Super Simple Songs', 'Head shoulders knees and toes song for children', 'Head Shoulders Knees and Toes', 'nursery', 'head shoulders knees and toes song', ""Children's Songs"", 'www.supersimplelearning.com', 'parts of the body song for children']",61,168464090,187797,2013-06-24,"3,757",44840
2018-01-11T14:10:46Z,10 Little Fishies - Featuring Finny The Shark! | Kids Songs | Super Simple Songs,"['kids songs', 'songs for kids', 'nursery rhymes', 'baby shark', 'babyshark', 'counting 1 to 10', '10 little fiishes', 'ten little fishes', 'educational songs', 'one to ten', 'super simple songs', 'songs for children', 'fun songs for kids', 'kindergarten', 'preschool songs', 'toddlers', 'songs for toddlers', 'preschoolers', ""children's songs"", 'videos for kids', 'rhyme', 'nursery', 'baby nursery rhymes', 'songs for babies', '10 little fishies', '10 fish']",196,168315531,201981,2018-01-11,"2,095",80342
